ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60636,21,05/17/2020,05/23/2020,61,646,189,2006,504,2358,1565,7322.3,0.1,0.2,1,44,3.1,136.6,32203,60636-2020-21,POINT (-87.668597 41.77599)
60649,28,07/05/2020,07/11/2020,36,919,78,1996.8,680,8893,1478,19322.5,0.1,0.1,0,123,0.0,267.3,46024,60649-2020-28,POINT (-87.571522 41.762202)
60619,11,03/14/2021,03/20/2021,49,3953,80,6453,1522,58744,2485,95896,0.0,0.1,0,117,0.0,191.0,61258,60619-2021-11,POINT (-87.60569 41.744737)
60642,34,08/16/2020,08/22/2020,16,317,79,1569.2,539,6396,2668,31661.8,0.0,0.1,0,13,0.0,64.4,20201,60642-2020-34,POINT (-87.657821 41.899935)
60634,15,04/05/2020,04/11/2020,99,255,130,335.5,472,1249,621,1643.5,0.2,0.2,3,7,3.9,9.2,75995,60634-2020-15,POINT (-87.797373 41.944967)
60606,22,05/24/2020,05/30/2020,2,22,64,709.4,146,615,4708,19832.3,0.1,0.2,0,0,0.0,0.0,3101,60606-2020-22,POINT (-87.63676 41.882634)
60636,26,06/21/2020,06/27/2020,22,793,68,2462.5,405,4316,1258,13402.5,0.1,0.2,1,50,3.1,155.3,32203,60636-2020-26,POINT (-87.668597 41.77599)
60623,7,02/14/2021,02/20/2021,42,10129,49,11780.8,1382,72583,1607,84419.5,0.0,0.2,0,239,0.0,278.0,85979,60623-2021-7,POINT (-87.717446 41.850321)
60625,8,02/21/2021,02/27/2021,48,6168,61,7783.7,2271,87039,2866,109838.1,0.0,0.1,2,180,2.5,227.1,79243,60625-2021-8,POINT (-87.701816 41.971155)
60661,22,05/24/2020,05/30/2020,2,41,20,413.1,54,417,544,4201.1,0.0,0.1,0,0,0.0,0.0,9926,60661-2020-22,POINT (-87.644283 41.882786)
60631,12,03/15/2020,03/21/2020,8,10,27,33.9,25,29,85,98.2,0.3,0.3,0,0,0.0,0.0,29529,60631-2020-12,POINT (-87.813371 41.995019)
60657,41,10/04/2020,10/10/2020,96,1164,137,1661.6,2619,31687,3739,45233.5,0.0,0.0,0,29,0.0,41.4,70052,60657-2020-41,POINT (-87.658216 41.939715)
60660,22,05/24/2020,05/30/2020,31,411,72,950.5,406,2293,939,5302.7,0.1,0.2,0,38,0.0,87.9,43242,60660-2020-22,POINT (-87.666362 41.991062)
60656,15,04/05/2020,04/11/2020,25,74,91,268.3,196,516,711,1871,0.1,0.1,0,2,0.0,7.3,27579,60656-2020-15,POINT (-87.817934 41.974566)
60640,31,07/26/2020,08/01/2020,34,1053,49,1510.4,1745,19508,2503,27982.5,0.0,0.0,0,87,0.0,124.8,69715,60640-2020-31,POINT (-87.662232 41.971888)
60647,28,07/05/2020,07/11/2020,53,1592,61,1819.2,2122,14795,2425,16906.8,0.0,0.1,0,89,0.0,101.7,87509,60647-2020-28,POINT (-87.701101 41.921058)
60646,1,01/03/2021,01/09/2021,121,2033,432,7264.1,1197,25419,4277,90824.3,0.1,0.1,2,57,7.1,203.7,27987,60646-2021-1,POINT (-87.761826 41.993931)
60707,50,12/06/2020,12/12/2020,105,1608,244,3737.9,,4389,0,10202.5,0.0,0.1,4,21,9.3,48.8,43019,60707-2020-50,POINT (-87.808283 41.921777)
60623,10,03/07/2021,03/13/2021,39,10267,45,11941.3,1504,77535,1749,90179,0.0,0.1,0,242,0.0,281.5,85979,60623-2021-10,POINT (-87.717446 41.850321)
60666,12,03/21/2021,03/27/2021,,,,,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,60666-2021-12,POINT (-87.896371 41.979511)
60607,11,03/14/2021,03/20/2021,40,2369,135,8005.8,1728,53250,5840,179953.4,0.0,0.0,0,8,0.0,27.0,29591,60607-2021-11,POINT (-87.652727 41.876104)
60655,44,10/25/2020,10/31/2020,143,1165,496,4044.6,975,14890,3385,51694.2,0.2,0.1,1,16,3.5,55.5,28804,60655-2020-44,POINT (-87.701434 41.696456)
60636,4,01/24/2021,01/30/2021,44,2734,137,8489.9,776,23885,2410,74170.1,0.1,0.1,2,91,6.2,282.6,32203,60636-2021-4,POINT (-87.668597 41.77599)
60601,11,03/14/2021,03/20/2021,28,970,191,6609.9,976,22421,6651,152783.6,0.0,0.0,0,11,0.0,75.0,14675,60601-2021-11,POINT (-87.622844 41.886262)
60624,21,05/17/2020,05/23/2020,107,778,296,2151.7,558,2957,1543,8178,0.2,0.2,2,22,5.5,60.8,36158,60624-2020-21,POINT (-87.722735 41.879417)
60614,50,12/06/2020,12/12/2020,198,3579,278,5019.1,3569,69989,5005,98150.3,0.1,0.0,1,80,1.4,112.2,71308,60614-2020-50,POINT (-87.652064 41.922605)
60646,29,07/12/2020,07/18/2020,2,418,7,1493.6,501,5507,1790,19677,0.0,0.1,0,42,0.0,150.1,27987,60646-2020-29,POINT (-87.761826 41.993931)
60657,19,05/03/2020,05/09/2020,26,259,37,369.7,309,1714,441,2446.8,0.1,0.1,2,17,2.9,24.3,70052,60657-2020-19,POINT (-87.658216 41.939715)
60630,50,12/06/2020,12/12/2020,220,3538,384,6169.8,1786,36447,3114,63558.5,0.2,0.1,6,87,10.5,151.7,57344,60630-2020-50,POINT (-87.759611 41.971261)
60642,35,08/23/2020,08/29/2020,16,333,79,1648.4,479,6875,2371,34033,0.0,0.0,0,13,0.0,64.4,20201,60642-2020-35,POINT (-87.657821 41.899935)
60607,51,12/13/2020,12/19/2020,62,1803,210,6093.1,1721,32491,5816,109800.3,0.0,0.0,0,5,0.0,16.9,29591,60607-2020-51,POINT (-87.652727 41.876104)
60628,28,07/05/2020,07/11/2020,58,1261,87,1889.9,1150,10936,1724,16389.9,0.1,0.1,1,106,1.5,158.9,66724,60628-2020-28,POINT (-87.621537 41.694192)
60666,34,08/16/2020,08/22/2020,,,,,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,60666-2020-34,POINT (-87.896371 41.979511)
60621,22,05/24/2020,05/30/2020,23,518,79,1783.6,457,2771,1574,9541.4,0.0,0.2,2,43,6.9,148.1,29042,60621-2020-22,POINT (-87.638812 41.776931)
60621,44,10/25/2020,10/31/2020,58,931,200,3205.7,574,12160,1976,41870.4,0.1,0.1,0,53,0.0,182.5,29042,60621-2020-44,POINT (-87.638812 41.776931)
60630,21,05/17/2020,05/23/2020,88,721,154,1257.3,609,3446,1062,6009.3,0.2,0.2,12,41,20.9,71.5,57344,60630-2020-21,POINT (-87.759611 41.971261)
60651,40,09/27/2020,10/03/2020,58,2600,92,4112.8,999,22566,1580,35695.5,0.1,0.1,0,79,0.0,125.0,63218,60651-2020-40,POINT (-87.741017 41.901964)
60601,6,02/07/2021,02/13/2021,5,899,34,6126.1,621,18850,4232,128449.7,0.0,0.0,0,11,0.0,75.0,14675,60601-2021-6,POINT (-87.622844 41.886262)
60646,11,03/08/2020,03/14/2020,,,,,4,7,14,25,0.0,0.0,0,0,0.0,0.0,27987,60646-2020-11,POINT (-87.761826 41.993931)
60657,28,07/05/2020,07/11/2020,52,467,74,666.6,1451,8975,2071,12811.9,0.0,0.0,0,28,0.0,40.0,70052,60657-2020-28,POINT (-87.658216 41.939715)
60631,13,03/22/2020,03/28/2020,21,31,71,105,185,214,626,724.7,0.1,0.1,0,0,0.0,0.0,29529,60631-2020-13,POINT (-87.813371 41.995019)
60638,48,11/22/2020,11/28/2020,315,4924,536,8374.6,1487,33507,2529,56987.6,0.3,0.2,5,72,8.5,122.5,58797,60638-2020-48,POINT (-87.771902 41.787032)
60601,2,01/10/2021,01/16/2021,32,849,218,5785.3,643,16592,4382,113063,0.0,0.1,0,11,0.0,75.0,14675,60601-2021-2,POINT (-87.622844 41.886262)
60647,16,04/12/2020,04/18/2020,123,281,141,321.1,404,1152,462,1316.4,0.3,0.2,6,7,6.9,8.0,87509,60647-2020-16,POINT (-87.701101 41.921058)
60612,32,08/02/2020,08/08/2020,16,848,47,2471.5,625,9405,1822,27411,0.0,0.1,0,29,0.0,84.5,34311,60612-2020-32,POINT (-87.687011 41.88004)
60622,34,08/16/2020,08/22/2020,43,986,82,1867.7,1675,17771,3173,33661.7,0.0,0.1,0,56,0.0,106.1,52793,60622-2020-34,POINT (-87.681818 41.902762)
60642,8,02/21/2021,02/27/2021,10,1725,50,8539.2,646,28178,3198,139488.1,0.0,0.1,0,21,0.0,104.0,20201,60642-2021-8,POINT (-87.657821 41.899935)
60616,31,07/26/2020,08/01/2020,20,613,37,1125.5,835,10990,1533,20178.5,0.0,0.1,0,35,0.0,64.3,54464,60616-2020-31,POINT (-87.629531 41.844869)
60607,30,07/19/2020,07/25/2020,12,531,41,1794.5,596,5243,2014,17718.2,0.0,0.1,0,4,0.0,13.5,29591,60607-2020-30,POINT (-87.652727 41.876104)
60618,12,03/21/2021,03/27/2021,119,7763,126,8224,2803,111083,2969,117678.9,0.0,0.1,2,112,2.1,118.7,94395,60618-2021-12,POINT (-87.703343 41.946699)
60633,42,10/11/2020,10/17/2020,29,439,225,3410.8,321,4716,2494,36640.5,0.1,0.1,0,6,0.0,46.6,12871,60633-2020-42,POINT (-87.556037 41.653147)
60644,7,02/14/2021,02/20/2021,30,3702,63,7759.1,1081,45981,2266,96372,0.0,0.1,1,117,2.1,245.2,47712,60644-2021-7,POINT (-87.756863 41.881113)
60636,40,09/27/2020,10/03/2020,25,1125,78,3493.5,519,10636,1612,33028,0.0,0.1,0,57,0.0,177.0,32203,60636-2020-40,POINT (-87.668597 41.77599)
60611,20,05/10/2020,05/16/2020,15,114,46,351.6,390,1696,1203,5230.4,0.1,0.1,0,2,0.0,6.2,32426,60611-2020-20,POINT (-87.620291 41.894734)
60639,37,09/06/2020,09/12/2020,78,4553,86,5030,1212,31239,1339,34511.7,0.1,0.2,0,120,0.0,132.6,90517,60639-2020-37,POINT (-87.75531 41.920609)
60605,20,05/10/2020,05/16/2020,6,155,22,563.2,170,1040,618,3779.2,0.0,0.1,0,1,0.0,3.6,27519,60605-2020-20,POINT (-87.623449 41.867824)
60605,16,04/12/2020,04/18/2020,28,93,102,337.9,99,444,360,1613.4,0.1,0.1,0,0,0.0,0.0,27519,60605-2020-16,POINT (-87.623449 41.867824)
60657,1,01/03/2021,01/09/2021,238,3880,340,5538.7,3577,75760,5106,108148.2,0.1,0.1,1,43,1.4,61.4,70052,60657-2021-1,POINT (-87.658216 41.939715)
60655,48,11/22/2020,11/28/2020,142,2041,493,7085.8,909,19313,3156,67049.7,0.2,0.1,2,22,6.9,76.4,28804,60655-2020-48,POINT (-87.701434 41.696456)
60644,25,06/14/2020,06/20/2020,22,1297,46,2718.4,781,7129,1637,14941.7,0.0,0.2,2,89,4.2,186.5,47712,60644-2020-25,POINT (-87.756863 41.881113)
60655,9,02/28/2021,03/06/2021,23,3173,80,11015.8,614,30792,2132,106901.8,0.0,0.1,0,33,0.0,114.6,28804,60655-2021-9,POINT (-87.701434 41.696456)
